greeting,now,fire1,notice1,noticeLaw,notice2,infoOpen1,infoOpenLaw,infoOpen2,infoOpen3,fixLaw,macro1,macro2,macro3,ending
,,,다음으로 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 작성되어 있습니다.,,,,,이에 본 민원인은 게임관리위원회의 2015년 1월 1일 ~ 2015년 12월 31일 까지의 회의록의 사본 또는 열람을 요청합니다,,,,,,"앞으로 이런 일이 반복되면 국내 게임산업의 성장은 크게 정체되고, 개발자들이 누리던 표현의 자유는 크게 침해될 것이라고 봅니다.따라서 개발자들의 표현의 자유를 존중하기 위해서라도, 이번 결정은 취소해야 할 것입니다."
,,,게다가 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 작성되어 있는것을 확인했습니다.,,,,,"이에, 게임관리위원회의 2014년 1월 1일~ 2014년 12월 31일의 회의록의 민감한 정보를 삭제처리한 편집본 또는 사본 열람을 요청합니다.",,,,,,게임물관리위원회의 행보에 의문이 느껴지는 점이 많습니다. 부디 상식과 공정이 살아있는 업무처리 부탁드리겠습니다.
,,,게다가 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 쓰여 있습니다.,,,,,,,,,,,본 민원인은 최근 귀 위원회의 업무처리에 느끼는 실망감이 큽니다. 저를 포함해 모두가 납득할 수 있는 답변을 기다리겠습니다.
,,,게다가 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 쓰여져 있습니다.,,,,,,,,,,,게이머의 편이라던 게임물관리위원회의 포부는 아직 건재하다면 함께 게이머의 편이 되어주시길 바라며 공정한 민원처리를 요청합니다.
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 규정되어 있습니다.,,,,,,,,,,,현재 게임물관리위원회의 전문성에 대해 의문과 우려를 표하는 목소리가 큽니다. 전문성 있는 답변을 기다리며 민원 마치겠습니다.
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 쓰여져 있습니다.,,,,,,,,,,,"아울러, 최근 민원 거부에 관한 논란에 대해서도 귀 위원회의 현명한 대처를 기대하며 이만 민원을 마칩니다."
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 써져 있습니다.,,,,,,,,,,,귀 위원회가 민원을 거부한다는 타 민원인의 의견이 나오고 있습니다. 부디 이번 민원은 성실히 처리해주셨으면 합니다.
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 작성되어 있는것을 확인했습니다.,,,,,,,,,,,"또한, 앞으로 민원을 거부한다는 이야기가 나오지 않게, 진정성 있는 민원 처리를 부탁합니다."
,,,,,,,,,,,,,,"기업들이 행정부의 일관된 처분을 기대할 수 있도록 하여, 게임산업의 지속적인 발전에 기여하여 주시기 바랍니다."
,,,,,,,,,,,,,,"국민들이 행정부의 일관된 행정을 기대할 수 있도록 하여, 문화여가 권리의 보장에 기여해주시길 촉구합니다."
,,,,,,,,,,,,,,오인에 의한 해당 위원회의 잘못된 판단을 시정할 수 있도록 해주시길 거듭 당부드립니다.
,,,,,,,,,,,,,,해당 위원회의 오판을 지적해주시어 재검토 및 시정될 수 있도록 신경써주시길 부탁드립니다.
,,,,,,,,,,,,,,당 부처가 국민으로부터 받는 신임만큼 강단있고 신실한 행정시정을 당부합니다.
,,,,,,,,,,,,,,"불의에 대한 행정부처의 올바른 자세을 기대할 수 있도록 하여, 국민의 신뢰와 신의에 적극 보답해주시길 바랍니다."
,,,,,,,,,,,,,,"다소 이의가 있을지라도, 귀 위원회의 판단에 대해 이후 과도한 선례가 만들어지지 않도록 하여, 국민을 짓누르는 거대한 국가가 되는것을 지양해주시길 바랍니다."
,,,,,,,,,,,,,,국민의 권익보호에 힘써주시어 항상 감사합니다.
,,,,,,,,,,,,,,국민의 정당한 권리가 행정부의 졸속 행정으로 침해받는 사안에 대해 신실한 업무를 당부드립니다.
,,,,,,,,,,,,,,담당 공무원 혹은 위원장님께선 게관위가 국민의 권리를 침탈하는 정무처라는 오명을 탈피 해주시길 진심으로 바랍니다.
,,,,,,,,,,,,,,비전문가만 임용된 졸속정무처라는 과거로부터의 프레임에서 벗어나 아이들을 위한 건전한 행정업무에 더욱 힘써주시길 염원합니다.
,,,,,,,,,,,,,,국민의 목소리에 귀 기울여 앞으로 비전문적 규제위원회라는 오명을 벗으실 수 있기를 소망합니다.
,,,,,,,,,,,,,,국민과 청소년을 위한 건전한 등급분류에 떳떳한 행정처의 판단을 바랍니다.
